Date,Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
1998-06-26,0.785417,0.825521,0.831771,0.772396,0.678125,0.631771,0.601042,0.658333
1998-06-29,0.822917,0.785417,0.825521,0.831771,0.772396,0.678125,0.631771,0.601042
1998-06-30,0.83125,0.822917,0.785417,0.825521,0.831771,0.772396,0.678125,0.631771
1998-07-01,0.951042,0.83125,0.822917,0.785417,0.825521,0.831771,0.772396,0.678125
1998-07-02,1.033333,0.951042,0.83125,0.822917,0.785417,0.825521,0.831771,0.772396
1998-07-06,1.1625,1.033333,0.951042,0.83125,0.822917,0.785417,0.825521,0.831771
1998-07-07,1.017708,1.1625,1.033333,0.951042,0.83125,0.822917,0.785417,0.825521
1998-07-08,0.892708,1.017708,1.1625,1.033333,0.951042,0.83125,0.822917,0.785417
1998-07-09,0.879167,0.892708,1.017708,1.1625,1.033333,0.951042,0.83125,0.822917
1998-07-10,0.829167,0.879167,0.892708,1.017708,1.1625,1.033333,0.951042,0.83125
1998-07-13,0.896875,0.829167,0.879167,0.892708,1.017708,1.1625,1.033333,0.951042
1998-07-14,0.958333,0.896875,0.829167,0.879167,0.892708,1.017708,1.1625,1.033333
1998-07-15,0.9375,0.958333,0.896875,0.829167,0.879167,0.892708,1.017708,1.1625
1998-07-16,0.944792,0.9375,0.958333,0.896875,0.829167,0.879167,0.892708,1.017708
1998-07-17,0.998438,0.944792,0.9375,0.958333,0.896875,0.829167,0.879167,0.892708
1998-07-20,1.145833,0.998438,0.944792,0.9375,0.958333,0.896875,0.829167,0.879167
1998-07-21,1.100521,1.145833,0.998438,0.944792,0.9375,0.958333,0.896875,0.829167
1998-07-22,1.116667,1.100521,1.145833,0.998438,0.944792,0.9375,0.958333,0.896875
